fact_id,date_id,state_id,total_tests,positive_tests,positivity_rate,vaccination_coverage_pct,booster_coverage_pct,hospital_beds,doctors,phc_count,chc_count,icu_utilization_pct,bed_occupancy_pct,reporting_compliance_pct,turnaround_time_days,reporting_rate_pct
1,1,1,22918,4084,17.82,76.8,51.4,12451,1793,179,47,68.7,48.7,61.9,4.9,83.9
2,1,2,1323,64,4.85,91.6,51.6,465,65,10,0,77.1,38.7,98.3,2.2,96.2
3,1,3,28315,1734.5,14.68,71.1,37.2,8002,2955,119,74,76.9,55.2,72.6,1,71
4,1,4,90239,8653,9.59,79.8,26.1,10373,4215,979,373,83.3,60.4,98.1,4.1,98.4
5,1,5,23747,3931,16.56,90,52.3,7966,760,158,23,78.7,47.9,74.1,1.1,81.8
6,1,6,664,101,15.27,72.1,26.7,310,110,9,3,74.2,69.4,72.7,2.7,91.4
7,1,7,74550,11137,14.94,60.6,40,12093,3298,533,149,94.4,41,74.4,2.9,79.2
8,1,8,29403,3611,12.28,56.1,34.5,7043,1074,87,17,74.1,89.4,85.7,1.1,96.6
9,1,9,7689,1095,14.24,92.6,42.1,852,483,54,7,65.2,88.2,66.4,2.1,91.6
10,1,10,35298,1393,3.95,74.7,33.2,11388,1778,232,64,39.9,57,96.6,1.3,68.9
11,1,11,53001,2620,4.94,72.4,23.8,15101,5352,499,72,74.6,35.8,85.8,4,76.8
12,1,12,35293,1935,5.48,60.9,39.2,3400,2462,235,51,65,75.2,64.2,3.8,74.9
13,1,13,89890,6339,7.05,59.5,35,19741,6073,333,248,50.9,52.6,75.1,0.7,74.1
14,1,14,58443,3418,5.85,59.7,22.3,27888,8370,537,96,85.2,87.3,99.4,4.5,80.9
15,1,15,2121,318,15.04,71.1,51.2,735,117,12,7,96.4,64.7,77.4,1.3,83.8
16,1,16,1516,145,9.59,76.3,29.5,624,239,19,3,39.7,79.4,81.9,1.5,69.6
17,1,17,1190,66,5.62,77.9,34.8,140,26,6,2,78,51.6,83.7,0.6,94.1
18,1,18,2018,254,12.63,66.2,39.2,267,89,6,4,50.3,55.1,81.7,4.2,96.8
19,1,19,49086,1734.5,10.69,95.7,46,7004,1835,169,136,85.9,44.6,87.5,1.6,63.1
20,1,20,26219,1717,6.55,88.7,28.8,5700,2207,154,77,37.7,49.2,60.5,4.4,68.9
21,1,21,84550,3552,4.2,68,28.8,17391,6492,456,240,44.8,70.2,69.4,1,74.3
22,1,22,379,36,9.56,57,26.4,118,24,3,2,65.4,48.2,65.9,4.1,57.9
23,1,23,37869,1208,3.19,61.4,37.9,18220,6443,444,47,45,39.2,70.7,4.7,75.4
24,1,24,19469,2056,10.56,68.5,47.2,10178,2579,305,45,56.4,67.4,96.8,0.6,98.9
25,1,25,3832,440,11.48,55.6,27,559,230,26,10,57.7,38.2,85.1,2,93.7
26,1,26,199868,20165,10.09,50.9,28.1,22589,16829,1231,526,41.8,88.3,86.7,2.3,60.8
27,1,27,15937,721,4.53,77.7,34.2,5648,1742,54,23,46.3,89,80.1,2,96.9
28,1,28,47835,6995,14.62,91,41.9,9116,7725,300,172,56,95.8,80.1,4.5,82.7
29,1,29,29787,2912,9.78,73.1,38.6,8578,2544,228,69,42.7,95,72.6,4.6,61.4
30,1,30,14224,2532,17.81,77.9,25.9,2212,1061,35,38,63.3,75.2,73.2,0.7,61.4
31,1,31,355,60,17.07,95.4,60.6,88,12,2,0,32.8,73.5,92.6,3.7,81.5
32,1,32,1217,49,4.1,82,56.8,372,114,7,2,72.9,55.4,92.4,3.7,78.1
33,2,1,38117,2295,6.02,59,35,5497,3730,140,72,76,74.1,65.4,3.3,91.5
34,2,2,1823,237,13.01,96.8,53.3,180,124,11,3,65.2,76.4,89.9,1.3,96.1
35,2,3,30324,1348,4.45,68.3,46.5,8688,765,148,56,31.1,69.7,96.6,4.8,70.2
36,2,4,95354,13284,13.93,45.7,15.8,29321,6347,349,183,84,64.5,61.6,3.9,64
37,2,5,28162,1045,3.71,83.8,37.1,3414,1988,197,23,93.7,78,73.1,1.6,63.4
38,2,6,844,117,13.92,54.5,16.5,207,99,9,2,67.3,41.6,92.6,2.7,78.7
39,2,7,31965,3094,9.68,91.7,53.9,10000,2377,550,192,48.1,89.9,99.9,4.4,88
40,2,8,16433,1010,6.15,73.3,37.8,4736,1120,75,20,74.9,70.7,98.3,2,86.4
41,2,9,2938,436,14.85,58.7,39.9,588,166,54,20,39.7,36.5,98.3,2.9,85.1
42,2,10,35123,1414,4.03,64.7,23.4,9607,1394,250,83,45.6,92.7,69.9,2.9,68.5
43,2,11,75390,2787,3.7,55,36.3,18025,4899,534,52,39.6,38.1,78.5,3.4,79.3
44,2,12,14603,2316,15.87,74.4,26.4,4557,1834,175,76,58.1,88.5,89.6,3.5,94.8
45,2,13,95888,13908,14.5,58.4,22.3,9684,3180,666,185,50.8,70,78,3.1,73.8
46,2,14,115078,18500,16.08,93.1,59.5,18082,11039,821,313,64.9,72,93.4,1.2,75.1
47,2,15,2926,242,8.3,91.5,51.8,813,240,17,7,89.3,96.5,90.4,3.1,86
48,2,16,2912,160,5.53,50.2,35,997,140,20,5,38.2,89.2,73.7,4,98.2
49,2,17,1184,1734.5,6.36,57.9,34,188,91,9,2,87.9,96.3,94.5,3.2,61.5
50,2,18,1457,99,6.81,61.7,36.4,270,196,13,2,59.6,53.4,64.8,2.6,77.3
51,2,19,47646,2875,6.03,81,43.7,8295,4013,354,91,36.2,92.2,75.7,4.3,87.3
52,2,20,14690,2223,15.14,62.4,40.2,7484,1669,68,83,92.2,95.6,96.8,2.6,93.3
53,2,21,69595,9524,13.69,50.5,29.4,8994,3085,297,93,36.4,63.6,91.2,3.8,65.6
54,2,22,487,58,11.99,76.9,25.4,78,41,1,1,45.3,58.8,90.3,2.2,69.4
55,2,23,31986,804,2.51,54.2,16.8,22236,6369,601,218,90.9,73.2,88.9,2,57.5
56,2,24,27213,3632,13.35,76.3,39.9,10349,1548,120,89,60,92.6,77.5,1.9,90.1
57,2,25,2532,324,12.82,73.8,43.8,1129,157,26,10,82.7,61.7,67.6,4.6,82
58,2,26,124012,16042,12.94,75.9,46,4897.5,13039,639,519,56,57.4,63.3,4.2,61
59,2,27,18017,700,3.89,50.1,15.9,4496,1754,89,50,83.4,59.7,80.1,4.1,99.5
60,2,28,98870,16266,16.45,72.4,43.2,29565,5847,370,230,68.1,44.7,96.5,2.6,58.2
61,2,29,27419,2493,9.09,88.4,43.1,3030,1814,100,51,85.3,45.1,66.3,3.4,74.9
62,2,30,5494,495,9.02,96.1,47.1,1422,933,65,32,43.3,94.4,60.1,4.5,57.8
63,2,31,193,14,7.59,91.3,51.8,30,6,0,0,51.6,96.2,91.8,1.1,55.9
64,2,32,1047,137,13.14,69.4,21.5,189,59,9,1,50.7,69,83.2,1,56.7
65,3,1,52508,4355,8.3,45.2,29.2,4609,2424,408,72,73.7,96.6,64.4,2.3,71.7
66,3,2,761,56,7.42,65,44.6,158,128,7,0,53.6,45.9,74.6,4,95
67,3,3,18491,2839,15.36,80.4,24.4,6491,2694,208,25,100,100,96,4.2,64.7
68,3,4,145250,20366,14.02,78.6,49.3,11202,3170,788,100,76.6,64.9,66.5,0.5,68.6
69,3,5,13621,1229,9.03,74.9,49.6,8661,893,63,24,95.7,50.5,75.6,1.4,78.9
70,3,6,997,151,15.17,70.9,34.3,175,117,11,1,84.5,45.8,81.1,3.3,82.9
71,3,7,36835,4405,11.96,84.2,52.5,16119,2036,216,64,97.1,58.4,90.8,3,69
72,3,8,11735,1939,16.52,87.5,58.9,5254,1821,193,72,65.4,39.4,66.5,4.6,58.5
73,3,9,23532,1734.5,13.99,45.1,16.9,925,503,16,5,42.7,74.5,68.9,4.3,72.4
74,3,10,30293,2428,8.02,66.7,32.1,5479,2115,167,40,89.9,42.2,62.5,1.3,76.8
75,3,11,42871,7566,17.65,99,56,15359,5420,176,199,75.2,74,90.6,1.2,60.2
76,3,12,36215,1478,4.08,83.8,53.7,4923,2204,173,87,72.8,83.1,89.7,3.4,71.1
77,3,13,71733,11306,15.76,90.6,47.1,4897.5,2123,305,251,31.1,89,98.9,1.3,70.4
78,3,14,141058,6035,4.28,71.1,49,33189,5554,328,249,79.5,43.7,69.5,2.5,80.3
79,3,15,2218,254,11.49,75.6,25,455,146,16,8,83.8,84.9,83.4,3.1,91.7
80,3,16,1897,83,4.41,50.1,34.3,919,222,10,1,73.5,79.1,88.4,3,56.5
81,3,17,915,43,4.75,62.5,41.8,196,100,4,1,83.9,53.2,69.9,3.5,64.6
82,3,18,2341,307,13.11,62.8,30.6,486,153,6,2,96.7,49.3,66.6,2.3,88.9
83,3,19,22323,1671,7.49,71.1,18.1,13577,2616,358,120,97,52.7,80.9,2.8,78.4
84,3,20,12986,1524,11.74,83.1,54.6,7682,1382,109,58,93.8,40.1,74.9,3.2,60.8
85,3,21,80031,11239,14.04,75.7,26.5,21412,1998,642,148,64.2,56.2,81.9,4.4,72.6
86,3,22,488,79,16.22,59.9,26.7,66,24,2,1,96.4,40.9,72.2,1.1,87.5
87,3,23,59042,4813,8.15,88.4,48.9,14712,2232,328,45,48.2,91.8,72,3.3,89.9
88,3,24,26568,1151,4.33,56,29.1,3685,1122,307,75,46.3,51.8,99.8,2.9,60.3
89,3,25,2319,328,14.19,81.3,39.7,610,289,14,5,90.9,52.9,80,1.3,55.5
90,3,26,169898,7622,4.49,87.2,30.1,64305,15689,542,290,45,96.7,75.1,1,90.1
91,3,27,12195,681,5.59,51.2,32.7,3356,1777,77,15,47.6,44.5,73.1,4,91.9
92,3,28,94135,13764,14.62,71.1,26.4,15452,6340,752,99,74.7,93.5,67.3,0.7,74.1
93,3,29,15220,1680,11.04,77.4,50.6,3979,2541,117,80,52.5,96.5,87.6,4.9,92
94,3,30,12986,2031,15.65,74.8,31,2967,391,57,36,70.2,86.6,96.5,1,73.2
95,3,31,197,25,12.92,63.3,33.3,77,17,1,0,76.9,51.8,84.8,2.7,97.8
96,3,32,718,47,6.63,69.3,35.4,180,75,11,3,44,52.1,63.6,0.9,65.9
97,4,1,29384,4097,13.95,90.9,53.8,9566,3333,422,86,46.5,36.7,74.6,0.8,67.5
98,4,2,1840,244,13.28,65.6,24.6,4897.5,142,12,2,83,43.6,83,1.5,56.8
99,4,3,31884,2757,8.65,88.1,41.1,2865,1468,249,72,53.7,51.4,85.3,1.5,88.6
100,4,4,53609,8798,16.41,45.2,22,29623,8533,508,233,63.6,88.5,61.7,3.9,72.2
101,4,5,28091,4582,16.31,71.1,39.1,2440,643,163,47,83.1,88.7,67,0.9,91.1
102,4,6,1690,126,7.49,58,18,314,102,8,2,36.3,68.1,74.5,3.7,99.4
103,4,7,62081,6240,10.05,61.5,22.2,8383,2015,411,191,46.5,54.7,92.3,4.4,78.1
104,4,8,22700,917,4.04,89.2,36.3,5912,2095,195,49,44.6,50.4,67.9,2.8,77.3
105,4,9,7380,592,8.03,76.9,33.2,1211,442,46,15,72.5,90.1,62,0.6,86.1
106,4,10,22218,3288,14.8,82.1,40.7,6617,1364,165,39,54.6,51.9,98.9,3.3,85.5
107,4,11,31206,3692,11.83,78.2,34.6,15398,1535,471,88,54.6,75.8,73.7,2.7,98.8
108,4,12,24249,2135,8.81,52.5,35.7,8319,1819,190,82,55,92,63.9,4.1,67.7
109,4,13,34766,5077,14.6,49.8,22.9,23923,6300,417,119,46.4,37.8,75.5,2.7,65.1
110,4,14,79625,9305,11.69,69.3,47.5,12452,7041,595,304,92.5,55.8,92.4,4.4,79.9
111,4,15,3161,113,3.58,92.2,63.1,814,87,6,4,48.9,70.6,60.1,2.9,95.9
112,4,16,2764,74,2.7,71.4,40.5,503,286,26,7,67.5,58.9,79.6,2.2,81.3
113,4,17,690,26,3.88,97.8,39.7,251,82,6,2,47.5,90.1,76,3,62.8
114,4,18,1594,203,12.77,77.3,36.9,241,74,16,5,59.1,90.9,67.6,0.9,99.9
115,4,19,38217,6566,17.18,74.2,36.6,11107,2481,221,86,44.8,61.3,88.7,2.6,84.3
116,4,20,35517,4513,12.71,71.9,47.8,7753,1458,187,53,71.8,74.3,80.9,2.4,68.6
117,4,21,51698,8594,16.63,71.1,32.7,4897.5,6297,636,103,81,86,92,4.1,72.3
118,4,22,403,42,10.58,91.7,46.4,200,20,2,1,96,74,81.9,2.7,59.2
119,4,23,77369,2512,3.25,60.9,19.2,22800,4405,492,113,63.1,94.9,92.9,1.2,63.2
120,4,24,39590,960,2.43,65.2,39.7,3781,1785,301,31,45.8,43,65.5,1.3,97.1
121,4,25,3933,608,15.47,46,16.5,1096,140,10,5,54.2,72.3,77.3,1.7,76.6
122,4,26,179039,13400,7.48,84.2,37,4897.5,8950,1109,308,58.4,58.3,82.6,4.5,90.3
123,4,27,18706,2369,12.67,66.4,46.3,3040,521,138,47,35,68.7,61,4.2,61.5
124,4,28,57999,7571,13.05,83.8,35.9,21611,2199,793,115,85.4,52,66.9,1.2,99.3
125,4,29,17522,1820,10.39,74.2,39.2,6741,2444,78,61,60.6,43.8,97.7,1.3,82.9
126,4,30,9663,1352,14,93.8,32.6,3586,600,38,26,90.3,69.7,86.4,2,55.1
127,4,31,134,15,11.75,88.7,60.4,60,7,0,0,68.5,50.7,77.6,4.5,90.6
128,4,32,1737,239,13.8,46.6,21.2,263,74,4,2,37.1,83.2,69.5,1.2,74.4
129,5,1,24974,2954,11.83,81,32.9,4711,1996,329,52,33,83.8,75.9,3.5,94.8
130,5,2,1148,96,8.41,94,51.3,163,106,4,2,44.5,85.8,87,3.7,59.7
131,5,3,33445,2336,6.98,88.4,35.6,10571,1602,121,46,92.1,95.8,89.6,4.4,55
132,5,4,126006,8521,6.76,55,23.4,4897.5,5345,917,156,81.4,96.8,95.1,3.2,96.5
133,5,5,30343,1012,3.34,94.5,28.5,2578,2109,174,84,50.7,79.4,65.1,1.6,66.2
134,5,6,1837,265,14.44,91.5,42.1,387,143,6,1,95.4,68.4,87.8,1.7,91.2
135,5,7,79357,1734.5,11.86,88.6,53.7,20366,1691,193,122,80.9,52.4,90.1,0.8,67.7
136,5,8,29540,3108,10.52,70.2,35.4,4859,787,101,49,81.4,46.1,63,4.2,76.1
