Month,Actual_Cases
2022-01-01,184359
2022-02-01,193818
2022-03-01,213760
2022-04-01,173499
2022-05-01,169993
2022-06-01,163242
2022-07-01,241771
2022-08-01,186262
2022-09-01,146836
2022-10-01,151000
2022-11-01,164519
2022-12-01,157032
2023-01-01,180210
2023-02-01,174632
2023-03-01,186190
2023-04-01,200687
2023-05-01,188082
2023-06-01,175931
2023-07-01,140053
2023-08-01,134271
2023-09-01,159717
2023-10-01,188052
2023-11-01,134655
2023-12-01,131729
2024-01-01,176234
2024-02-01,177641
2024-03-01,173384
2024-04-01,212087
2024-05-01,181400
2024-06-01,213539
2024-07-01,205218
2024-08-01,157852
2024-09-01,164814
2024-10-01,151090
2024-11-01,148148
2024-12-01,187811
